Year,Make,Model,Trim,Drivetrain,Segment,Certified,Certified Program,Stock Number,VIN,Risk Light,Photo Count,Key Photo,DMS Status,Key Information,Lot Location,Age,Leads (last 7 days),Leads (Daily Avg Last 7 Days),Leads (Since Last Reprice),Leads (All),Mileage,Objective,Color,Price,Last Reprice,MSRP,Unit Cost,Est. Profit,ACV Wholesale,ACV MAX Retail,% to Market,Cost to Market,Market Rank (Matching),Market Listings (Matching),Market Rank (Overall),Market Listings (Overall),MDS (Overall),MDS (Matching),Proof point: Market,Proof point: MSRP,Syndication,CarGurus CTR,CarGurus SRP Views,CarGurus VDP Views,Book value: MMR,MMR - Cost,Book value: J.D. Power,Water,Proof point: J.D. Power,Proof point: KBB
2021,BMW,X7,xDrive40i,AWD,SUV,No,"",B35132A,5UXCW2C01M9H97641,Yellow,20,https://cdn.max.auto/102612/5UXCW2C01M9H97641/68800a2ef5f7c7d4d52df3c2.jpg,S,Oil Change,"",89,0,0,0,3,"89,613",Retail,Black,"$34,398.00",2025-10-08T10:31:00.000Z,"","$38,331.58","-$3,933.58","$29,950.00","$34,025.00",90%,100%,2,5,26,330,45,17,"$3,838.00 below","",On,4.4%,"13,442",594,"$32,400.00","-$5,931.58","$39,425.00","$1,093.42","$10,402.00 below","$1,067.00 below"
2023,BMW,X5,xDrive40i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35202A,5UXCR6C04P9R13897,Green,20,https://cdn.max.auto/102612/5UXCR6C04P9R13897/688162a6f5f7c7d4d5f1f3e2.jpg,S,Oil Change|BMW CPO,"",89,0,0,0,5,"31,979",Retail,White,"$48,898.00",2025-10-08T10:31:00.000Z,"","$51,999.96","-$3,101.96","$41,525.00","$51,100.00",96%,103%,5,16,318,713,58,42,"$1,801.00 below","",On,2.8%,"6,343",180,"$44,900.00","-$7,099.96","$45,425.00","-$6,574.96","$6,252.00 below","$1,526.00 above"
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35419,5UX53GP01S9128286,Green,13,https://cdn.max.auto/102612/5UX53GP01S9128286/688bb2e8a01cd1cf596a43bb.jpg,S,,"",71,0,0,0,4,2,Retail,Black,"$57,705.00","","$57,705.00","$54,642.00","$3,063.00","","",104%,98%,60,82,74,113,21,29,"$1,985.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35393,5UX53GP02S9124909,Green,11,https://cdn.max.auto/102612/5UX53GP02S9124909/688d2ea2a01cd1cf59c90e3c.jpg,S,,"",71,0,0,0,2,4,Retail,Black,"$56,005.00","","$56,005.00","$53,057.00","$2,948.00","","",101%,95%,36,82,48,113,21,29,$285.00 above,$0.00 below,On,14.3%,77,11,"","","","","",""
2026,BMW,5 Series,530i xDrive,AWD,Sedan,No,"",B35399,WBA53FJ03TCV80651,Green,13,https://cdn.max.auto/102612/WBA53FJ03TCV80651/688b96b9a01cd1cf590b4a36.jpg,S,,"",71,1,0.1,0,2,6,Retail,White,"$66,810.00","","$66,810.00","$63,107.00","$3,703.00","","",101%,95%,13,21,19,73,60,65,$501.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,X2,xDrive28i,AWD,SUV,No,"",B35387,WBX63GM06S5381723,Green,13,https://cdn.max.auto/102612/WBX63GM06S5381723/688a5dd6a01cd1cf599f5688.jpg,S,,"",71,1,0.1,0,3,7,Retail,Gray,"$52,220.00","","$52,220.00","$49,542.00","$2,678.00","","",117%,111%,15,17,18,22,83,90,"$7,629.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,X1,xDrive28i,AWD,SUV,No,"",B35403,WBX73EF09S5387392,Green,13,https://cdn.max.auto/102612/WBX73EF09S5387392/688b5af7a01cd1cf5945ffd6.jpg,S,,"",71,0,0,0,4,5,Retail,White,"$47,645.00","","$47,645.00","$45,287.00","$2,358.00","","",103%,98%,45,77,65,104,34,45,"$1,468.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2023,BMW,X3,M40i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35116A,5UX83DP00P9P51725,Green,20,https://cdn.max.auto/102612/5UX83DP00P9P51725/688a79eaa01cd1cf5911a27f.jpg,S,Oil Change|BMW CPO,"",79,1,0.1,0,4,"51,075",Retail,White,"$44,998.00",2025-10-14T11:36:00.000Z,"","$44,527.54",$470.46,"$39,450.00","$45,250.00",100%,99%,3,5,1220,1402,53,112,$159.00 below,"",On,2.1%,"26,503",552,"$38,900.00","-$5,627.54","$44,800.00",$272.46,"$6,777.00 below",$88.00 above
2023,BMW,X5,xDrive40i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35231A,5UXCR6C03P9R41772,Green,20,https://cdn.max.auto/102612/5UXCR6C03P9R41772/688b5afaa01cd1cf594638aa.jpg,S,Oil Change|BMW CPO,"",79,0,0,0,3,"42,160",Sold,Blue,"$47,698.00",2025-10-06T09:11:00.000Z,"","$46,615.30","$1,082.70","$37,800.00","$47,200.00",99%,97%,21,50,98,333,74,102,$439.00 below,"",On,1.6%,"9,236",145,"$36,800.00","-$9,815.30","$42,800.00","-$3,815.30","$4,602.00 below","$2,108.00 above"
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35422,5UX53GP00S9132717,Green,9,https://cdn.max.auto/102612/5UX53GP00S9132717/689111a8a01cd1cf591fccab.jpg,S,,"",71,1,0.1,0,4,3,Retail,Gray,"$56,005.00","","$56,005.00","$53,057.00","$2,948.00","","",101%,95%,36,82,48,113,21,29,$285.00 above,$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,5 Series,530i xDrive,AWD,Sedan,No,"",B35434,WBA53FJ02TCV88482,Green,13,https://cdn.max.auto/102612/WBA53FJ02TCV88482/688bb2e8a01cd1cf596a4cc7.jpg,S,,"",71,0,0,0,4,2,Retail,Blue,"$66,660.00","","$66,660.00","$62,967.00","$3,693.00","","",101%,95%,13,21,19,73,60,65,$351.00 above,$0.00 below,On,0.7%,"9,626",70,"","","","","",""
2025,BMW,X2,xDrive28i,AWD,SUV,No,"",B35432,WBX63GM02S5391312,Green,13,https://cdn.max.auto/102612/WBX63GM02S5391312/688cd6aaa01cd1cf598328bd.jpg,S,,"",71,0,0,0,1,6,Retail,Green,"$54,720.00","","$54,720.00","$51,867.00","$2,853.00","","",123%,116%,17,17,20,22,83,90,"$10,129.00 above",$0.00 below,On,2.5%,"8,354",210,"","","","","",""
2023,Hyundai,Santa Fe,Calligraphy,AWD,SUV,No,"",B35057B,5NMS5DAL3PH516339,Yellow,20,https://cdn.max.auto/102612/5NMS5DAL3PH516339/688e91bfa01cd1cf597438ca.jpg,S,Oil Change,"",75,0,0,0,1,"60,386",Retail,Gray,"$26,898.00",2025-10-08T10:32:00.000Z,"","$29,025.93","-$2,127.93","$22,925.00","$26,175.00",96%,104%,10,23,1219,1622,48,159,$987.00 below,"",On,3.9%,"3,534",139,"$24,100.00","-$4,925.93","$27,675.00","-$1,350.93","$3,852.00 below",$49.00 above
2024,BMW,X5,M60i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B33975A,5UX33EU09R9T35275,Green,20,https://cdn.max.auto/102612/5UX33EU09R9T35275/68939f9c0ae5367095093441.jpg,S,Oil Change|BMW CPO,"",76,0,0,0,2,"39,048",Retail,Gray,"$70,998.00",2025-10-14T11:37:00.000Z,"","$73,223.00","-$2,225.00","$63,075.00","$74,925.00",96%,99%,2,5,945,1055,42,38,"$2,752.00 below","",On,4.1%,"27,935","1,146","$59,900.00","-$13,323.00","$73,575.00",$352.00,"$14,402.00 below","$1,970.00 above"
2025,BMW,X3,30 xDrive,AWD,SUV,No,"",B35440,5UX53GP09S9133154,Green,11,https://cdn.max.auto/102612/5UX53GP09S9133154/6893beff0ae536709570213b.jpg,S,,"",71,1,0.1,0,4,3,Retail,Gray,"$57,105.00","","$57,105.00","$54,082.00","$3,023.00","","",102%,97%,55,82,69,113,21,29,"$1,385.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2023,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35421A,WBX73EF02P5Y25001,Green,20,https://cdn.max.auto/102612/WBX73EF02P5Y25001/689278130ae5367095403208.jpg,S,Oil Change|BMW CPO,"",72,0,0,0,5,"29,830",Retail,White,"$32,998.00",2025-10-10T06:27:00.000Z,"","$32,774.15",$223.85,"$27,100.00","$32,825.00",98%,97%,8,19,29,73,57,43,$773.00 below,"",On,3.6%,"15,410",562,"$27,900.00","-$4,874.15","$31,125.00","-$1,649.15","$5,352.00 below","$1,809.00 above"
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35476,5UX53GP06T9144162,Green,11,https://cdn.max.auto/102612/5UX53GP06T9144162/6896851a0ae536709511b2ab.jpg,S,,"",68,1,0.1,0,5,3,Retail,Blue,"$57,340.00","","$57,340.00","$54,302.00","$3,038.00","","",100%,94%,222,444,222,481,177,199,$186.00 below,$0.00 below,On,0.0%,0,0,"","","","","",""
2022,BMW,5 Series,540i xDrive,AWD,Sedan,No,"",B35397A,WBA73BJ01NWX80043,Green,20,https://cdn.max.auto/102612/WBA73BJ01NWX80043/689e2477425f7fc86c5cc966.jpg,S,Oil Change|BMW CPO,"",70,0,0,0,2,"43,048",Retail,Black,"$43,798.00",2025-10-14T11:38:00.000Z,"","$44,747.72",-$949.72,"$35,700.00","$42,200.00","","","","","","","","","","",On,2.6%,"4,953",128,"$36,600.00","-$8,147.72","$38,425.00","-$6,322.72","$3,427.00 below","$2,135.00 above"
2025,BMW,X1,xDrive28i,AWD,SUV,No,"",B35447,WBX73EF01S5382803,Green,11,https://cdn.max.auto/102612/WBX73EF01S5382803/68978d0e0ae5367095d2e7b2.jpg,S,,"",68,0,0,0,2,6,Retail,Silver,"$46,945.00","","$46,945.00","$44,637.00","$2,308.00","","",102%,97%,37,77,57,104,34,45,$768.00 above,$0.00 below,On,8.2%,85,7,"","","","","",""
2025,BMW,X6 M,,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BN28879,5YM23ET04S9Z14671,Yellow,20,https://cdn.max.auto/102612/5YM23ET04S9Z14671/689a488d0ae536709502820c.jpg,S,Oil Change|BMW CPO,"",68,0,0,0,9,"5,283",Retail,Black,"$126,798.00",2025-10-14T12:46:00.000Z,"","$122,651.10","$4,146.90","$123,375.00","","","","","","","","","","","",On,3.5%,"52,228","1,852","$117,000.00","-$5,651.10","","","$9,652.00 below",$411.00 below
2026,BMW,iX,xDrive45,AWD,SUV,No,"",B35487,WB543CF07TCV91086,Green,11,https://cdn.max.auto/102612/WB543CF07TCV91086/68978d0e0ae5367095d2e0ea.jpg,S,,"",64,1,0.1,0,4,9,Retail,White,"$86,920.00","","$86,920.00","$81,812.00","$5,108.00","","",102%,96%,12,16,12,26,29,24,"$1,389.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X5,xDrive40i,AWD,SUV,No,"",B35492,5UX23EU09T9148900,Green,13,https://cdn.max.auto/102612/5UX23EU09T9148900/689cd68a425f7fc86c324276.jpg,S,,"",64,0,0,0,8,5,Retail,Black,"$77,625.00","","$77,625.00","$73,162.00","$4,463.00","","",99%,93%,68,172,94,346,53,62,"$1,131.00 below",$0.00 below,On,2.8%,527,15,"","","","","",""
2017,BMW,X1,xDrive28i,AWD,SUV,No,"",B35379A,WBXHT3C33H5F82388,Red,20,https://cdn.max.auto/102612/WBXHT3C33H5F82388/689fa378425f7fc86cacc0b7.jpg,S,Oil Change,"",63,0,0,0,3,"63,349",Wholesale,Gray,$0.00,2025-08-20T12:29:00.000Z,"","$12,481.49","","$11,175.00","$15,625.00","","",0,7,0,215,36,57,"","",On,0.0%,0,0,"$11,950.00",-$531.49,"$14,250.00","$1,768.51","",""
2026,BMW,X5 M,Competition,AWD,SUV,No,"",B35520,5YM13ET04T9148177,Green,12,https://cdn.max.auto/102612/5YM13ET04T9148177/68a790158c600ad0fd04529e.jpg,S,,"",58,2,0.3,0,6,14,Retail,"","$152,315.00","","$152,315.00","$142,532.00","$9,783.00","","",106%,100%,8,8,8,8,65,65,"$9,229.00 above",$0.00 below,On,13.4%,"11,230","1,507","","","","","",""
2026,BMW,X2,xDrive28i,AWD,SUV,No,"",B35522,WBX63GM00T5416838,Green,11,https://cdn.max.auto/102612/WBX63GM00T5416838/68a650168c600ad0fdafee71.jpg,S,,"",58,0,0,0,1,6,Retail,White,"$48,420.00","","$48,420.00","$46,012.00","$2,408.00","","",96%,92%,4,13,4,14,63,65,"$1,762.00 below",$0.00 below,On,7.5%,"2,901",217,"","","","","",""
2026,BMW,X1,xDrive28i,AWD,SUV,No,"",B35514,WBX73EF07T5400531,Green,11,https://cdn.max.auto/102612/WBX73EF07T5400531/68a634238c600ad0fd50b750.jpg,S,,"",58,0,0,0,0,6,Retail,Silver,"$46,755.00","","$46,755.00","$44,457.00","$2,298.00","","",95%,91%,7,123,8,174,193,284,"$2,243.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2023,BMW,X7,xDrive40i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35082A,5UX23EM05P9R25630,Green,20,https://cdn.max.auto/102612/5UX23EM05P9R25630/68a757d78c600ad0fd2f1d87.jpg,S,Oil Change|BMW CPO,"",61,1,0.1,0,1,"29,360",Retail,White,"$64,498.00",2025-10-14T12:47:00.000Z,"","$63,216.44","$1,281.56","$58,725.00","$65,025.00",96%,95%,2,14,33,59,63,38,"$2,349.00 below","",On,3.5%,"9,539",334,"$54,800.00","-$8,416.44","$61,600.00","-$1,616.44","$7,852.00 below","$3,347.00 below"
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34022,WBX73EF05S5082617,Green,20,https://cdn.max.auto/102612/WBX73EF05S5082617/68a3949a8c600ad0fd06da3b.jpg,S,Oil Change|BMW CPO,"",61,0,0,0,0,"10,080",Retail,White,"$39,998.00",2025-10-14T12:47:00.000Z,"","$35,809.42","$4,188.58","$35,150.00","$40,750.00",96%,86%,7,20,83,657,38,49,"$1,694.00 below","",On,2.2%,"10,878",241,"$35,300.00",-$509.42,"$35,375.00",-$434.42,"$3,677.00 below","$1,698.00 above"
2025,BMW,X1,xDrive28i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BL34362,WBX73EF05S5145814,Green,20,https://cdn.max.auto/102612/WBX73EF05S5145814/68a378818c600ad0fd9c59f7.jpg,S,Oil Change|BMW CPO,"",61,1,0.1,0,2,"8,579",Retail,Silver,"$39,998.00",2025-10-14T12:48:00.000Z,"","$36,200.02","$3,797.98","$35,575.00","$41,150.00",95%,86%,1,10,9,44,57,64,"$2,319.00 below","",On,1.1%,"11,849",137,"$35,300.00",-$900.02,"$35,850.00",-$350.02,"$4,152.00 below","$1,552.00 above"
2025,BMW,5 Series,530i xDrive,AWD,Sedan,Yes,BMW Certified Pre-Owned (CPOV),BL34462,WBA53FJ06SCU14476,Green,20,https://cdn.max.auto/102612/WBA53FJ06SCU14476/68a3b0fa8c600ad0fd7c3e8b.jpg,S,Oil Change|BMW CPO,"",61,0,0,0,2,"8,112",Retail,White,"$54,998.00",2025-10-14T12:48:00.000Z,"","$51,408.55","$3,589.45","$46,650.00","$56,400.00",94%,88%,5,23,39,160,88,148,"$3,441.00 below","",On,1.3%,"23,082",306,"$44,300.00","-$7,108.55","","","$1,473.00 above",""
2026,BMW,iX,xDrive60,AWD,SUV,No,"",B35528,WB553CF01TCW07738,Green,13,https://cdn.max.auto/102612/WB553CF01TCW07738/68a897dd8c600ad0fd7dd313.jpg,S,,"",58,0,0,0,2,7,Retail,Black,"$105,945.00","","$105,945.00","$99,645.70","$6,299.30","","",106%,99%,10,10,26,26,29,47,"$5,724.00 above",$0.00 below,On,10.1%,"1,205",122,"","","","","",""
2026,BMW,5 Series,530i xDrive,AWD,Sedan,No,"",B35526,WBA53FJ01TCV97383,Green,13,https://cdn.max.auto/102612/WBA53FJ01TCV97383/68a774148c600ad0fd9a6672.jpg,S,,"",58,0,0,0,1,6,Retail,Blue,"$71,910.00","","$71,910.00","$67,847.00","$4,063.00","","",108%,102%,21,21,52,73,60,65,"$5,601.00 above",$0.00 below,On,2.9%,477,14,"","","","","",""
2022,BMW,X3,xDrive30i,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),B35512A,WBX57DP04NN171944,Green,20,https://cdn.max.auto/102612/WBX57DP04NN171944/68ae07e9085a2841a9ffd9e4.jpg,S,Oil Change|BMW CPO,"",58,1,0.1,1,4,"46,531",Retail,Gray,"$32,498.00",2025-10-08T10:32:00.000Z,"","$34,450.33","-$1,952.33","$27,125.00","$32,750.00",99%,105%,6,13,722,1447,35,65,$355.00 below,"",On,0.8%,"5,458",43,"$26,700.00","-$7,750.33","$30,125.00","-$4,325.33",$827.00 below,$186.00 above
2024,Mazda,CX-90 PHEV,Premium Plus,AWD,SUV,No,"",B35488A,JM3KKEHA8R1115621,Yellow,20,https://cdn.max.auto/102612/JM3KKEHA8R1115621/68a5dc3e8c600ad0fd3ab8bb.jpg,S,Oil Change,"",61,0,0,0,0,"16,666",Retail,Blue,"$37,698.00",2025-10-14T12:49:00.000Z,"","$38,711.61","-$1,013.61","$34,325.00","$39,325.00",97%,100%,2,11,41,57,63,55,"$1,133.00 below","",On,1.7%,"17,777",305,"$31,700.00","-$7,011.61","$38,450.00",-$261.61,"$4,252.00 below","$2,291.00 above"
2021,Toyota,RAV4,XLE,AWD,SUV,No,"",B35438A,2T3P1RFV7MC144862,Yellow,20,https://cdn.max.auto/102612/2T3P1RFV7MC144862/68a8ec0d823a478e0c98cf9e.jpg,S,Oil Change,"",60,0,0,0,1,"73,340",Retail,Blue,"$24,698.00",2025-10-13T07:22:00.000Z,"","$25,821.51","-$1,123.51","$20,925.00","$24,650.00",97%,101%,5,18,19,97,41,62,$827.00 below,"",On,1.5%,"5,256",78,"$21,300.00","-$4,521.51","$24,000.00","-$1,821.51","$3,977.00 below","$1,391.00 above"
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35532,5UX53GP02T9154123,Green,11,https://cdn.max.auto/102612/5UX53GP02T9154123/68a510298c600ad0fd94a667.jpg,S,,"",58,0,0,0,3,5,Retail,White,"$56,690.00","","$56,690.00","$53,697.00","$2,993.00","","",98%,93%,141,351,179,481,177,253,$920.00 below,$0.00 below,On,0.0%,0,0,"","","","","",""
